Kecamatan; Rumah Sakit Umum ; Puskesmas ; Klinik Balai Kesehatan ; Posyandu ; Poskesdes ; Jumlah ;Tahun
Susukan;0;2;0;81;10;93;2018
Purwareja Klampok;1;2;1;91;4;0;2018
Mandiraja;0;2;1;121;6;0;2018
Purwanegara;0;2;2;81;9;0;2018
Bawang;1;2;3;86;11;0;2018
Banjarnegara;1;2;6;144;5;0;2018
Pagedongan;0;1;0;71;6;0;2018
Sigaluh;0;2;1;92;9;0;2018
Madukara;0;2;0;110;16;0;2018
Banjarmangu;0;2;0;66;12;0;2018
Wanadadi;0;2;0;57;7;0;2018
Rakit;0;2;0;69;8;0;2018
Punggelan;0;2;0;111;13;0;2018
Karangkobar;0;1;0;46;8;0;2018
Pagentan;0;2;0;67;14;0;2018
Pejawaran;0;1;0;50;14;0;2018
Batur;0;2;0;33;6;0;2018
Wanayasa;0;2;0;69;11;0;2018
Kalibening;0;1;0;93;12;0;2018
Pandanarum;0;1;0;47;6;0;2018
Susukan;0;2;0;80;10;0;2019
Purwareja Klampok;1;2;2;91;4;0;2019
Mandiraja;0;2;1;122;6;0;2019
Purwanegara;1;2;2;80;9;0;2019
Bawang;1;2;3;83;11;0;2019
Banjarnegara;1;2;7;145;5;0;2019
Pagedongan;0;1;0;71;6;0;2019
Sigaluh;0;2;1;85;9;0;2019
Madukara;0;2;0;110;16;0;2019
Banjarmangu;0;2;0;67;12;0;2019
Wanadadi;0;2;0;57;7;0;2019
Rakit;0;2;0;70;8;0;2019
Punggelan;0;2;0;113;13;0;2019
Karangkobar;0;1;0;47;8;0;2019
Pagentan;0;2;0;67;14;0;2019
Pejawaran;0;1;0;48;14;0;2019
Batur;0;2;0;33;6;0;2019
Wanayasa;0;2;0;68;11;0;2019
Kalibening;0;1;0;94;12;0;2019
Pandanarum;0;1;0;47;6;0;2019
Susukan;0;2;0;80;10;0;2020
Purwareja Klampok;1;2;2;91;4;0;2020
Mandiraja;0;2;1;122;6;0;2020
Purwanegara;1;2;2;80;9;0;2020
Bawang;1;2;3;85;11;0;2020
Banjarnegara;1;2;7;139;5;0;2020
Pagedongan;0;1;0;72;6;0;2020
Sigaluh;0;2;1;82;9;0;2020
Madukara;0;2;0;109;16;0;2020
Banjarmangu;0;2;0;69;12;0;2020
Wanadadi;0;2;0;57;7;0;2020
Rakit;0;2;0;71;8;0;2020
Punggelan;0;2;0;113;13;0;2020
Karangkobar;0;1;0;47;8;0;2020
Pagentan;0;2;0;67;14;0;2020
Pejawaran;0;1;0;48;14;0;2020
Batur;0;2;0;33;6;0;2020
Wanayasa;0;2;0;68;11;0;2020
Kalibening;0;1;1;94;12;0;2020
Pandanarum;0;1;0;47;6;0;2020
Susukan;0;2;0;81;10;0;2021
Purwareja Klampok;1;2;2;91;4;0;2021
Mandiraja;0;2;1;120;6;0;2021
Purwanegara;1;2;2;80;9;0;2021
Bawang;1;2;3;85;11;0;2021
Banjarnegara;1;2;7;137;5;0;2021
Pagedongan;0;1;0;72;6;0;2021
Sigaluh;0;2;1;82;9;0;2021
Madukara;0;2;0;109;16;0;2021
Banjarmangu;0;2;0;71;12;0;2021
Wanadadi;0;2;0;57;7;0;2021
Rakit;0;2;0;69;8;0;2021
Punggelan;0;2;0;113;13;0;2021
Karangkobar;0;1;0;50;8;0;2021
Pagentan;0;2;0;68;14;0;2021
Pejawaran;0;1;0;48;14;0;2021
Batur;0;2;0;34;6;0;2021
Wanayasa;0;2;0;67;11;0;2021
Kalibening;0;1;1;97;12;0;2021
Pandanarum;0;1;0;47;6;0;2021
Susukan;0;2;0;79;10;0;2022
Purwareja Klampok;1;2;2;91;4;0;2022
Mandiraja;1;2;1;119;6;0;2022
Purwanegara;1;2;3;82;9;0;2022
Bawang;1;2;2;85;11;0;2022
Banjarnegara;0;2;8;140;5;0;2022
Pagedongan;0;1;0;73;6;0;2022
Sigaluh;0;2;0;82;9;0;2022
Madukara;0;2;0;110;16;0;2022
Banjarmangu;0;2;0;69;12;0;2022
Wanadadi;0;2;0;57;7;0;2022
Rakit;0;2;0;71;8;0;2022
Punggelan;0;2;0;113;13;0;2022
Karangkobar;0;1;0;50;8;0;2022
Pagentan;0;2;0;67;14;0;2022
Pejawaran;0;1;0;48;14;0;2022
Batur;0;2;0;34;6;0;2022
Wanayasa;0;2;0;67;11;0;2022
Kalibening;0;1;1;94;12;0;2022
Pandanarum;0;1;0;47;6;0;2022
Susukan;0;2;0;79;10;0;2023
Purwareja Klampok;1;2;2;91;4;0;2023
Mandiraja;0;2;1;119;6;0;2023
Purwanegara;1;2;3;82;9;0;2023
Bawang;1;2;2;85;11;0;2023
Banjarnegara;1;2;10;140;5;0;2023
Pagedongan;0;1;0;74;6;0;2023
Sigaluh;0;2;0;81;9;0;2023
Madukara;0;2;0;109;16;0;2023
Banjarmangu;0;2;0;70;12;0;2023
Wanadadi;0;2;0;57;7;0;2023
Rakit;0;2;0;71;8;0;2023
Punggelan;0;2;0;113;13;0;2023
Karangkobar;0;1;0;51;8;0;2023
Pagentan;0;2;0;67;14;0;2023
Pejawaran;0;1;0;48;14;0;2023
Batur;0;2;0;34;6;0;2023
Wanayasa;0;2;0;67;11;0;2023
Kalibening;0;1;1;93;12;0;2023
Pandanarum;0;1;0;47;6;0;2023
Susukan;0;2;0;79;10;0;2024
Purwareja Klampok;1;2;3;91;4;0;2024
Mandiraja;0;2;1;119;6;0;2024
Purwanegara;1;2;3;82;9;0;2024
Bawang;1;2;2;85;11;0;2024
Banjarnegara;1;2;11;140;5;0;2024
Pagedongan;0;1;0;72;6;0;2024
Sigaluh;0;2;0;72;9;0;2024
Madukara;0;2;0;108;16;0;2024
Banjarmangu;0;2;0;70;12;0;2024
Wanadadi;0;2;0;56;7;0;2024
Rakit;0;2;0;71;8;0;2024
Punggelan;0;2;0;113;13;0;2024
Karangkobar;0;1;0;51;8;0;2024
Pagentan;0;2;0;67;14;0;2024
Pejawaran;0;1;0;48;14;0;2024
Batur;0;2;0;36;6;0;2024
Wanayasa;0;2;0;67;11;0;2024
Kalibening;0;1;1;93;12;0;2024
Pandanarum;0;1;0;47;6;0;2024
